ID,Discovered Item,Framework Theme,Reference,Grey lit,Topic: Site remediation,Topic: Water mgt,Topic: Waste / sanitation,Topic: Workplace,Topic: Emissions,Topic: Chem Alt,Topic: Pub Health,Topic: Emerg / Disaster,Topic: Unspecified,Dev org: Gov't,Dev org: NGO,Dev org: Industry,Dev org: Academic,Disagree,Difficult,Guidance1,Guidance2,Context,Judgement,Unique,No code,Problem,Desirable effects,Undesirable effects,Certainty of evidence,Values,Balance of effects,Resources required,Cost effectiveness,Equity,Acceptability,Feasibility
373,Requires a coordinated international response,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
374,Sustained community transmission,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
375,Gaps in knowledge due to novel agent or limited response experience,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
376,Impending mass gathering,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
377,Threat to eradication,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
378,Complex response settings,,Mullen 2020,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
379,Local priorities: Extent to which funding for water and sewer service is a city or county priority compared with other rivaling priorities,Financing,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
380,"Perceived economic development benefits of extensions: Extent to which water and sewer extensions are seen as benefiting the city or county economy indirectly (e.g., the extension encourages new businesses to settle)",Financing,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
381,Availability of outside funding: Availability of grants and loans to fund water and sewer extensions,Financing,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
382,"Costs and benefits of extensions: Direct monetary costs and benefits of water and sewer extension (e.g., revenue from new customers)",Financing,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
383,Annexation for service extension: How annexation into the city plays a role in the extension of water and sewer,Government support,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
384,Decision-makers: The governmental and nongovernmental actors that must be involved to extend services and their roles,Government support,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
385,Government involvement in unincorporated communities: Extent to which government officials are involved in addressing the unincorporated community’s needs,Government support,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
386,"Planning and zoning laws: Planning and zoning laws and considerations that influence water and sewer extension (e.g., long-range planning for economic growth that calls for service extension)",Government support,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
387,"Relationships among government departments: How the interactions between various government actors affect the decision-making process (e.g., a strained relationship between county and city officials can affect the shared decision to extend city services beyond city limits)",Government support,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
388,Well and septic tank permitting rules: Extent to which the rules governing well and septic tank permitting affect their repairs and replacements,Existing infrastructure,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
389,"Environmental factors affecting pipe network construction: Impact of environmental factors (e.g., topography, rainfall) on the costs of extending water and sewer infrastructure",Existing infrastructure,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
390,"Piped water and sewer infrastructure location and capacity: Capacity, location, and ownership of existing piped water and sewer infrastructure",Existing infrastructure,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
391,Problems associated with septic tank use: Financial and societal challenges for the homeowner owing to septic tank use,Existing infrastructure,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
392,Community involvement: Extent to which the unserved community has organized and advocated for service extensions,Community engagement,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
393,Presence of renters in unincorporated areas: How the presence of renters in unincorporated communities affects extension,Community engagement,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
394,Availability of data on septic tank failure rates: Extent to which failure rates of septic systems and other potential health risk factors are monitored,Public health,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
395,Awareness of health risks: Extent to which decision-makers are aware of health risks associated with domestic water and sewer systems,Public health,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
396,Availability of data on water contamination from septic tanks: Whether contamination of water and soil owing to failed septic tanks is known to be present in the community,Public health,Naman 2015,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
397,Local priorities: Extent to which funding for water and sewer service is a city or county priority compared with other rivaling priorities,Financing,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
398,"Perceived economic development benefits of extensions: Extent to which water and sewer extensions are seen as benefiting the city or county economy indirectly (e.g., the extension encourages new businesses to settle)",Financing,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
399,Availability of outside funding: Availability of grants and loans to fund water and sewer extensions,Financing,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
400,"Costs and benefits of extensions: Direct monetary costs and benefits of water and sewer extension (e.g., revenue from new customers)",Financing,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
401,Annexation for service extension: How annexation into the city plays a role in the extension of water and sewer,Government support,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
402,Decision-makers: The governmental and nongovernmental actors that must be involved to extend services and their roles,Government support,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
403,Government involvement in unincorporated communities: Extent to which government officials are involved in addressing the unincorporated community’s needs,Government support,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
404,"Planning and zoning laws: Planning and zoning laws and considerations that influence water and sewer extension (e.g., long-range planning for economic growth that calls for service extension)",Government support,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
405,"Relationships among government departments: How the interactions between various government actors affect the decision-making process (e.g., a strained relationship between county and city officials can affect the shared decision to extend city services beyond city limits)",Government support,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
406,Well and septic tank permitting rules: Extent to which the rules governing well and septic tank permitting affect their repairs and replacements,Existing infrastructure,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
407,"Environmental factors affecting pipe network construction: Impact of environmental factors (e.g., topography, rainfall) on the costs of extending water and sewer infrastructure",Existing infrastructure,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
408,"Piped water and sewer infrastructure location and capacity: Capacity, location, and ownership of existing piped water and sewer infrastructure",Existing infrastructure,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
409,Problems associated with septic tank use: Financial and societal challenges for the homeowner owing to septic tank use,Existing infrastructure,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
410,Community involvement: Extent to which the unserved community has organized and advocated for service extensions,Community engagement,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
411,Presence of renters in unincorporated areas: How the presence of renters in unincorporated communities affects extension,Community engagement,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
412,Availability of data on septic tank failure rates: Extent to which failure rates of septic systems and other potential health risk factors are monitored,Public health,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
413,Awareness of health risks: Extent to which decision-makers are aware of health risks associated with domestic water and sewer systems,Public health,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
414,Availability of data on water contamination from septic tanks: Whether contamination of water and soil owing to failed septic tanks is known to be present in the community,Public health,Naman 2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
415,Toxicity,Human health,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
416,Exposure,Human health,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
417,Air quality,Environmental impact,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
418,Water,Environmental impact,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
419,Sediment,Environmental impact,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
420,Biota,Environmental impact,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
421,Cost,Social impact,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
422,Recreation,Social impact,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
423,Technology maturity,Technical feasibility,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
424,Useability,Technical feasibility,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
425,Feasibility,Technical feasibility,Pang 2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
426,Water: persistence,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
427,Water: exposure,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
428,Water: toxicity,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
429,Water: long-term effects,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
430,Air: persistence,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
431,Air: exposure,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
432,Air: toxicity,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
433,Air: long-term effects,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
434,Soil: persistence,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
435,Soil: exposure,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
436,Soil: toxicity,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
437,Soil: long-term effects,Ecological,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
438,Acute health score: oral,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
439,Acute health score: dermal,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
440,Acute health score: IDLH (immediately dangerous to life or health),Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
441,Acute health score: STEL (short-term exposure limit)/ceiling,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
442,Acute health score: inhalation,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
443,Acute health score: skin irritation,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
444,Acute health score: eye irritation,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
445,Acute health score: odor threshold value,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
446,Chronic health effects: reproductive effects,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
447,Chronic health effects: carcinogenicity,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
448,Chronic health effects: RfC (oral reference dose),Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
449,Chronic health effects: RfD (inhalation reference concentration),Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
450,Chronic health effects: sensitizer,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
451,Chronic health effects: neurotixicity,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
452,Chronic health effects: TLV (threshold limit value),Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
453,Chronic health effects: subchronic toxicity,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
454,Chronic health effects: genotoxocity,Health,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
455,Fire: flammability,Safety,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
456,Special score: radioactivity,Safety,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
457,Special score: oxidizer,Safety,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
458,Special score: water-reactive,Safety,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
459,Special score: corrosive,Safety,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
460,Reactivity: explosivity,Safety,Perez 2017,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
461,Values that tend to be systematically downplayed by traditional decision methods,The value of human health and the environment,Persson 2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
462,The decision might lead to irreversible and severe consequences and the values at stake are also irreplaceable,Irreversibility,Persson 2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
463,Timing is at least as important as being right,The cost of being late,Persson 2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
464,it is more important to avoid false negatives than false positives,False positives versus false negatives,Persson 2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
465,Are healthcare services sufficiently available?,Availability,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
466,Physical accessibility: Are facilities and services physically accessible?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
467,Physical accessibility: How long does it take to get to services?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468,Physical accessibility: Are hours of service convenient for farmworkers?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
469,Physical accessibility: Is transportation assistance available?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
470,Economic accessibility: Are services affordable?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
471,Economic accessibility: Are fees assessed on sliding scale?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
472,Economic accessibility: Are free services or waivers available for farmworkers who cannot pay?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
473,Information accessibility: Is appropriate health information available to farmworkers?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
474,Information accessibility: Is the information in a format that is understandable?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
475,Information accessibility: Are language access services available?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
476,"Non-discrimination: Are services provided free from discrimination, both in policy and in practice?",Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
477,Non-discrimination: Are services available to all including undocumented farmworkers?,Accessibility,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
478,Are services provided in a respectful manner?,Acceptability,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
479,Do services adhere to medical ethics?,Acceptability,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
480,Are services culturally and linguistically appropriate?,Acceptability,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
481,Are good quality services provided?,Quality,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
482,Do providers have the appropriate skills to work with farmworkers?,Quality,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
483,Are appropriate health monitoring and evaluation strategies in place?,Quality,Ramos 2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
484,Efficacy or effectiveness on health of individuals.,Balance of health benefits and harms,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
485,Effectiveness or impact on health of population.,Balance of health benefits and harms,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
486,Patients'/beneficiaries' values in relation to health outcomes,Balance of health benefits and harms,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
487,Safety risk profile of intervention.,Balance of health benefits and harms,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
488,Broader positive or negative health-related impacts.,Balance of health benefits and harms,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
489,Accordance with universal human rights standards.,Human rights and sociocultural acceptability,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
490,Sociocultural acceptability of intervention to patients/beneficiaries and those implementing the intervention.,Human rights and sociocultural acceptability,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
491,Sociocultural acceptability of intervention to the public and other relevant stakeholder groups.,Human rights and sociocultural acceptability,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
492,Impact on autonomy of concerned stakeholders. / Intrusiveness of intervention.,Human rights and sociocultural acceptability,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
493,Impact on health equality and/or health equity.,"Health equity, equality and non-discrimination",Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
494,Distribution of benefits and harms of intervention.,"Health equity, equality and non-discrimination",Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
495,Affordability of intervention.,"Health equity, equality and non-discrimination",Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
496,Accessibility of intervention.,"Health equity, equality and non-discrimination",Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
497,Severity and/or rarity of the condition.,"Health equity, equality and non-discrimination",Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
498,Lack of a suitable alternative.,"Health equity, equality and non-discrimination",Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
499,Social impact.,Societal implications,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
500,Environmental impact.,Societal implications,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
501,Financial impact.,Financial and economic considerations,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
502,Impact on economy.,Financial and economic considerations,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
503,Ratio of costs and benefits.,Financial and economic considerations,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
504,Legislation.,Feasibility and health system considerations,Rehfuess 2019,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
